ID,Condición del Inmueble,land_size,land_size_unit,total_area,total_area_unit,Latitud,Longitud,URL_FOR_REF
58473676,18  Antigüedad,110,m²,110,m²,19.3700416,-99.1914414,https://www.inmuebles24.com/propiedades/departamento-amueblado-internet-y-mantenimiento-58473676.html
59043699,27  Antigüedad,72,m²,72,m²,19.2976957,-99.120259,https://www.inmuebles24.com/propiedades/departamento-exterior-muy-iluminado-en-coapa-59043699.html
60229785,25  Antigüedad,600,m²,65,m²,19.3068299,-99.1180113,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-campestre-coyoacan-60229785.html
60139946,1   Medio baño,85,m²,85,m²,19.3701996,-99.1462639,https://www.inmuebles24.com/propiedades/departamento-en-venta-85-m-sup2--portales-norte-bj-60139946.html
60139850,3   Recámaras,94,m²,94,m²,19.3321516,-99.14544,https://www.inmuebles24.com/propiedades/departamento-en-venta-con-roof-93.51-m-sup2--division-60139850.html
60137458,3   Recámaras,100,m²,100,m²,19.402282,-99.1564982,https://www.inmuebles24.com/propiedades/departamento-en-venta-60137458.html
60104091,A estrenar,81,m²,81,m²,19.4811495,-99.1299207,https://www.inmuebles24.com/propiedades/-estrena-en-verano-2021-tu-departamento-en-lindavista!-60104091.html
60097487,3  Antigüedad,45,m²,45,m²,19.4629088,-99.1917641,https://www.inmuebles24.com/propiedades/departamento-en-el-poniente-de-la-cdmx-60097487.html
60066310,14  Antigüedad,115,m²,70,m²,19.413284,-99.1633881,https://www.inmuebles24.com/propiedades/departamento-en-venta-col.-roma-norte-san-luis-60066310.html
60002944,A estrenar,120,m²,0,,19.3090282,-99.1370542,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-ex-hacienda-coapa-60002944.html
59865148,4  Antigüedad,95,m²,95,m²,19.3813926,-99.1914892,https://www.inmuebles24.com/propiedades/departamento-en-venta-en-santa-maria-nonoalco-59865148.html
